id;name;child_ids
1;"[{""nl"" : ""POI""}, {""en"" : ""POI""}, {""fr"" : ""POI""}, {""de"" : ""POI""}, {""es"" : ""Punto de interés""}, {""ca"" : ""Punt d'interès""}, {""it"" : ""POI""}]";[43, 54, 189, 314, 420, 430, 439, 564, 569]
2;"[{""en"" : ""Route-Info""}, {""es"" : ""Info Ruta""}, {""ca"" : ""Info Ruta""}, {""it"" : ""Info itinerario""}, {""de"" : ""Routen-Info""}, {""fr"" : ""Info itinéraire""}, {""nl"" : ""Route-info""}]";[3, 7, 12, 23, 25, 44, 46, 50, 116, 118, 119, 120, 121, 122, 123, 144, 154, 167, 174, 185, 208, 253, 254, 288, 290, 301, 345, 351, 368, 370, 372, 373, 376, 378, 381, 388, 398, 401, 448, 453, 463, 480, 481, 495, 498, 499, 516, 547, 556, 560, 567, 570]
3;"[{""nl"" : ""Parking""}, {""en"" : ""Parking""}, {""fr"" : ""Parking""}, {""de"" : ""Parken""}, {""es"" : ""Aparcamiento""}, {""ca"" : ""Aparcament""}, {""it"" : ""Parcheggio""}]";[208]
4;"[{""nl"" : ""Schuilplaats""}, {""en"" : ""Shelter""}, {""fr"" : ""Abri""}, {""de"" : ""Schutz""}, {""es"" : ""Cobertizo""}, {""ca"" : ""Cobert""}, {""it"" : ""Riparo""}]";
5;"[{""nl"" : ""Hut""}, {""en"" : ""Cabin""}, {""fr"" : ""Hutte""}, {""de"" : ""Kabine""}, {""es"" : ""Cabaña""}, {""ca"" : ""Cabana""}, {""it"" : ""Capanna""}]";
6;"[{""fr"" : ""Camping""}, {""de"" : ""Campingplatz""}, {""es"" : ""Camping""}, {""ca"" : ""Camping""}, {""it"" : ""Campeggio""}, {""nl"" : ""Kampeerterrein""}, {""en"" : ""Camp-site""}]";[523, 563]
7;"[{""nl"" : ""Kleedkamer""}, {""en"" : ""Changing room""}, {""fr"" : ""Loge""}, {""de"" : ""Ändernder Raum""}, {""es"" : ""Camerino""}, {""ca"" : ""Vestidor""}, {""it"" : ""Spogliatoio""}]";
9;"[{""nl"" : ""Douche""}, {""en"" : ""Shower""}, {""fr"" : ""Douche""}, {""de"" : ""Dusche""}, {""es"" : ""Ducha""}, {""ca"" : ""Dutxa""}, {""it"" : ""Pioggia""}]";
10;"[{""nl"" : ""Hotel""}, {""en"" : ""Hotel""}, {""fr"" : ""Hôtel""}, {""de"" : ""Hotel""}, {""es"" : ""Hotel""}, {""ca"" : ""Hotel""}, {""it"" : ""Hotel""}]";
11;"[{""en"" : ""Locker""}, {""fr"" : ""Cabine""}, {""de"" : ""Schließfach""}, {""es"" : ""Taquilla""}, {""nl"" : ""Kluisjes""}, {""ca"" : ""Taquilles""}, {""it"" : ""Armadietti""}]";
12;"[{""en"" : ""Shelter""}, {""fr"" : ""Abri""}, {""nl"" : ""Schuilplaats""}, {""de"" : ""Schutz""}, {""es"" : ""Cobertizo""}, {""ca"" : ""Cobert""}]";
13;"[{""nl"" : ""Toilet""}, {""en"" : ""Toilet""}, {""fr"" : ""Toilettes""}, {""de"" : ""Toilette""}, {""es"" : ""Lavabo""}, {""ca"" : ""Lavabo""}]";
14;"[{""nl"" : ""Eet en drinkgelegenheid""}, {""en"" : ""Eat & Drink""}, {""fr"" : ""Manger et boire""}, {""de"" : ""Essen & Getränk""}, {""es"" : ""Comer y Beber""}, {""ca"" : ""Menjar i Beure""}]";[15, 16, 17, 18, 19, 20, 21, 22, 135, 254, 255, 261, 282, 342, 375, 528, 572]
15;"[{""nl"" : ""Bakkerij""}, {""en"" : ""Bakery""}, {""fr"" : ""Boulangerie""}, {""de"" : ""Bäckerei""}, {""es"" : ""Panaderia""}, {""ca"" : ""Fleca""}]";
16;"[{""nl"" : ""Brouwerij""}, {""en"" : ""Brewery""}, {""fr"" : ""Brasserie""}, {""de"" : ""Brauerei""}, {""es"" : ""Fábrica de Cerveza""}, {""ca"" : ""Fàbrica de Cervesa""}]";
17;"[{""nl"" : ""Cafe""}, {""en"" : ""Pub""}, {""fr"" : ""Café""}, {""de"" : ""Pub""}, {""es"" : ""Pub""}, {""ca"" : ""Pub""}]";
18;"[{""nl"" : ""Restaurant""}, {""en"" : ""Restaurant""}, {""fr"" : ""Restaurants""}, {""de"" : ""Gaststätte""}, {""es"" : ""Restaurante""}, {""ca"" : ""Restaurant""}]";[255, 281, 282]
19;"[{""nl"" : ""Eetgelegenheid""}, {""en"" : ""Eatery""}, {""fr"" : ""Endroit pour manger""}, {""de"" : ""Restaurant""}, {""es"" : ""Chiringuito""}, {""ca"" : ""Chiringuito""}]";
20;"[{""nl"" : ""Bron""}, {""en"" : ""Source""}, {""fr"" : ""Source""}, {""de"" : ""Quelle""}, {""es"" : ""Fuente""}, {""ca"" : ""Font""}]";
